start:	Thu May 04 23:57:06 2017
location4:not found index:http://stuex.nju.edu.cn/a/cglx	另外，对于各个学校的了解，请同学们仔细查看“合作院校留学说明”栏目（世界地图页），在这里你可以找到任何你想去的学校。
location4:not found index:http://stuex.nju.edu.cn/a/cglx	“各国办理手续”栏目融汇了历届交换生赴国外的签证和生活攻略，为将要赴国外交换的同学提供了很好的参考。
location4:not found index:http://stuex.nju.edu.cn/a/cglx	“留学生活”栏目集结了历届交换生的生活体验和心得，以及来南大留学的外国留学生的南大印象。
location4:not found index:http://stuex.nju.edu.cn/a/cglx	请同学们实时关注网页的“通知通告”，一旦有新的交换生项目信息，我们将及时发布上去。
location4:not found index:http://stuex.nju.edu.cn/a/tbxm	中法“9+9”项目
location4:not found index:http://stuex.nju.edu.cn/a/geleihuodong/20161012/1300.html	2016年10月9日晚上 18:30，2016年秋季学期“学伴计划”——外国交换生与南京大学学生见面晚会于仙林大学生活动中心揭开帷幕。本次晚会由南京大学AIC留学生俱乐部 & SIECA学生国际交流与合作协会主办，国际合作与交流处学生交流科的负责老师也应邀参加了晚会。
location4:not found index:http://stuex.nju.edu.cn/a/geleihuodong/20161012/1300.html	此次见面晚会帮助交换生与其学伴更快地熟悉彼此，也促进了中外学生之间的互动和交流，也为“学伴计划”后续活动的顺利开展打下基础。此外，本次活动也利于加强中外学生的沟通学习，建立国际友谊，帮助留学生（交换生）更好地适应中国的学习与生活，同时也为南大学生增强外语沟通能力，扩大国际视野提供了平台。
location4:not found index:http://stuex.nju.edu.cn/a/liuxueshuominghui/20160504/1132.html	巴黎高科中国招生项目宣讲会——南大专场（官方，一年一度）
location4:not found index:http://stuex.nju.edu.cn/a/liuxueshuominghui/20160504/1132.html	Jean-François NAVINER（Télécom ParisTech巴黎高科国立高等电信学校国际关系处主任）
location4:not found index:http://stuex.nju.edu.cn/a/liuxueshuominghui/20160504/1132.html	Cécile VIGOUROUX (ENSTA ParsTech巴黎高科高等先进技术学校国际关系处副主任)
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	”
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	4、若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	10、请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161130/1355.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	Spring Quarter（2016年4月3日 – 6月15日）
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	项目具体信息，请参见“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	”
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	获得校荐资格的同学，须根据“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	”的要求，准备申请材料
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	1.由于邮件量较大，为了不耽误回复提问，请学生先点击以下“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	”网址：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	4.若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	10.请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	。（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1235.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	Winter Quarter（2016年1月6日—3月24日）
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	项目具体信息，请参见“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	”
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	获得校荐资格的同学，须根据“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	”的要求，准备申请材料
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	1.由于邮件量较大，为了不耽误回复提问，请学生先点击以下“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	”网址：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	4.若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	10.请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20160919/1234.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1351.html	3. 若涉及“official nomination letter from home university”， 则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1351.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1351.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问题汇总”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1351.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1351.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1351.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	-Social & Cultural activities
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	“问答在线”
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	4.若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	10.请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161114/1350.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	1. 由于邮件量较大，为了不耽误回复提问，请学生先点击以下“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	”网址：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	4. 若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	10. 请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	1、登录学术学位研究生学籍与教学管理系统“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161114/1349.html	”，点击“申报系统”— “国际交流”--“校际交流合作”，进行网上申请。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	4.校内申请截止日期：11月25日前向教务处交换生系统填报信息，研究生须向国际处报名，并填报“
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	”（见附件）
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	“问答在线”
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	4.若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	10.请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1347.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	1. 由于邮件量较大，为了不耽误回复提问，请学生先点击以下“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	”网址：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	4. 若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	10. 请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161102/1341.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	“问答在线”
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	4.若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	10.请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1340.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	由于邮件量较大，为了不耽误回复提问，请学生先点击以下“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	”网址
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：stuex@nju.edu.cn
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	1、登录学术学位研究生学籍与教学管理系统“
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161031/1338.html	”，点击“申报系统”— “国际交流”--“校际交流合作”，进行网上申请。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	“问答在线”
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	4.若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	10.请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161110/1346.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	“问答在线”
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	4.若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。具体递交时间请关注邮件通知。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	10.请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1343.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	“问答在线”
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	4.若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	10.请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	（请按照“学号+姓名+交流项目+交流时间”的格式命名邮件和附件，例：《121076433张三牛津大学2016年暑期》。）提交邮箱：
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	（一）登录“交换生管理系统”（
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161107/1342.html	），点击“交换项目”开始申请，根据要求认真填写信息并提交。在遴选过程中请及时关注学生申请的实时状态和交换生管理系统发布的通知。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161028/1337.html	为了推进“一带一路”研究与建设事业的发展，培养优秀的专业人才，南京大学举办“院系国际合作伙伴项目”：“中巴‘一带一路’文化之旅冬令营”。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161028/1337.html	冬令营主要内容有：国内外著名学者学术演讲；研究生学术论坛；中国锦绣与陶瓷文化遗产考察。经费由承办方承担。现面向国外著名高校和国内“211”、“985”高校研究生招生。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161018/1322.html	1. 由于邮件量较大，为了不耽误回复提问，请学生先点击以下“
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161018/1322.html	”网址：
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161018/1322.html	请在“问答在线”网页的检索框中输入你们问题中的一个关键词，点击“搜索”按钮检索相关相似问题的回答。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161018/1322.html	4. 若涉及“official nomination letter from home university”，则统一由国际处出具。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161018/1322.html	“下载中心”下载表格填写）；该协议“监护人”一栏，须由父母或法定监护人亲笔签名，其他任何人员不得代签。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161018/1322.html	中的“出国留学”菜单下的“留学须知”和“具体流程”，以及“问答在线”菜单下的内容。
location4:not found index:http://stuex.nju.edu.cn/a/duanqixiangmu/20161018/1322.html	10. 请依照国际处学生科网页“出国留学”菜单下的要求填写本科生/研究生因公出国（境）申请表”。申请表需在出国前提交至仙林校区扬州楼818室出入境科。
